iter	Passed	Remaining
438	1315	1681
439	1318	1678
440	1321	1675
441	1325	1673
442	1328	1670
443	1331	1667
444	1333	1663
445	1335	1659
446	1338	1655
447	1341	1652
448	1344	1649
449	1346	1645
450	1349	1642
451	1352	1639
452	1354	1635
453	1357	1632
454	1359	1628
455	1362	1625
456	1364	1621
457	1367	1618
458	1370	1615
459	1372	1611
460	1375	1608
461	1379	1606
462	1382	1603
463	1384	1599
464	1387	1595
465	1389	1592
466	1391	1588
467	1394	1584
468	1396	1581
469	1399	1577
470	1401	1574
471	1403	1570
472	1406	1567
473	1409	1563
474	1411	1560
475	1414	1556
476	1416	1552
477	1418	1549
478	1421	1545
479	1423	1542
480	1427	1539
481	1429	1536
482	1432	1533
483	1434	1529
484	1437	1526
485	1440	1522
486	1442	1519
487	1445	1516
488	1447	1512
489	1450	1509
490	1452	1505
491	1454	1502
492	1457	1499
493	1460	1495
494	1462	1492
495	1465	1489
496	1467	1485
497	1470	1481
498	1472	1478
499	1475	1475
500	1477	1471
501	1479	1468
502	1482	1464
503	1484	1460
504	1487	1457
505	1489	1454
506	1492	1451
507	1495	1448
508	1497	1444
509	1501	1442
510	1504	1439
511	1507	1436
512	1511	1434
513	1513	1431
514	1517	1429
515	1520	1426
516	1523	1423
517	1526	1420
518	1529	1417
519	1532	1414
520	1535	1411
521	1538	1408
522	1541	1405
523	1543	1402
524	1546	1399
525	1549	1396
526	1552	1393
527	1554	1390
528	1557	1386
529	1560	1383
530	1562	1380
531	1565	1377
532	1568	1374
533	1571	1371
534	1574	1368
535	1577	1365
536	1579	1361
537	1581	1358
538	1584	1354
539	1586	1351
540	1589	1348
541	1591	1345
542	1594	1341
543	1596	1338
544	1598	1334
545	1601	1331
546	1604	1328
547	1607	1325
548	1610	1322
549	1612	1319
550	1615	1316
551	1617	1312
552	1621	1310
553	1623	1307
554	1625	1303
555	1628	1300
556	1630	1296
557	1633	1293
558	1636	1290
559	1638	1287
560	1640	1283
561	1643	1280
562	1645	1276
563	1647	1273
564	1649	1270
565	1651	1266
566	1653	1263
567	1656	1260
568	1660	1257
569	1662	1254
570	1665	1251
571	1668	1248
572	1671	1245
573	1674	1242
574	1677	1239
575	1680	1236
576	1682	1233
577	1685	1230
578	1688	1227
579	1690	1224
580	1693	1221
581	1695	1217
582	1697	1214
583	1700	1211
584	1702	1208
585	1705	1204
586	1708	1202
587	1711	1198
588	1713	1195
589	1716	1192
590	1719	1189
591	1721	1186
592	1723	1183
593	1726	1180
594	1728	1176
595	1731	1173
596	1733	1170
597	1736	1167
598	1739	1164
599	1741	1161
600	1744	1158
601	1746	1154
602	1749	1151
603	1751	1148
604	1754	1145
605	1757	1142
606	1759	1139
607	1761	1135
