iter	Passed	Remaining
200	547	2177
201	549	2170
202	551	2164
203	553	2157
204	554	2151
205	556	2144
206	558	2138
207	560	2133
208	561	2126
209	563	2121
210	565	2115
211	567	2109
212	569	2104
213	571	2097
214	573	2092
215	575	2087
216	576	2081
217	578	2075
218	580	2069
219	582	2064
220	583	2058
221	586	2053
222	588	2049
223	590	2044
224	591	2038
225	593	2033
226	595	2029
227	597	2024
228	599	2019
229	601	2014
230	603	2010
231	605	2005
232	607	2001
233	610	1997
234	612	1993
235	614	1990
236	617	1986
237	619	1982
238	621	1977
239	622	1972
240	624	1967
241	626	1963
242	628	1959
243	631	1955
244	633	1952
245	635	1947
246	637	1943
247	639	1939
248	641	1935
249	644	1932
250	646	1929
251	649	1927
252	651	1923
253	653	1919
254	655	1915
255	657	1911
256	659	1907
257	662	1904
258	664	1900
259	666	1896
260	668	1893
261	670	1889
262	672	1885
263	675	1882
264	677	1878
265	679	1874
266	681	1870
267	683	1866
268	685	1862
269	687	1858
270	689	1853
271	691	1849
272	693	1845
273	695	1841
274	696	1837
275	698	1833
276	700	1828
277	702	1824
278	704	1821
279	707	1818
280	709	1815
281	711	1811
282	713	1807
283	715	1804
284	718	1801
285	720	1798
286	722	1794
287	724	1790
288	726	1787
289	728	1783
290	730	1779
291	732	1775
292	734	1772
293	736	1768
294	738	1765
295	740	1762
296	743	1758
297	745	1755
298	746	1751
299	749	1747
300	751	1744
301	753	1740
302	755	1737
303	757	1733
304	758	1729
305	760	1725
306	763	1722
307	765	1719
308	767	1715
309	769	1712
310	771	1708
311	773	1705
312	775	1701
313	776	1697
314	779	1694
315	781	1690
316	783	1687
317	784	1683
318	786	1679
319	789	1676
320	791	1673
321	793	1671
322	796	1669
323	798	1666
324	800	1662
325	802	1660
326	805	1657
327	807	1653
328	808	1649
329	810	1646
330	812	1642
331	814	1639
332	816	1635
333	818	1631
334	820	1627
335	821	1624
336	824	1621
337	825	1617
338	827	1614
339	829	1610
340	831	1607
341	833	1603
342	835	1600
343	837	1596
344	839	1593
345	841	1590
346	843	1586
347	844	1582
348	846	1578
349	848	1575
350	849	1571
351	851	1568
352	853	1564
353	855	1560
354	856	1556
355	858	1553
356	860	1550
357	862	1547
358	864	1543
359	866	1541
360	869	1539
361	871	1536
362	873	1532
363	875	1529
364	877	1526
365	879	1523
366	881	1519
367	883	1516
368	885	1513
369	886	1510
370	888	1506
371	890	1503
372	892	1500
373	894	1497
374	896	1493
375	898	1490
376	900	1487
377	902	1484
378	904	1481
379	906	1478
380	908	1475
381	910	1472
382	912	1469
383	914	1466
384	916	1463
385	918	1460
386	919	1457
387	921	1453
388	923	1450
389	925	1447
390	927	1444
391	929	1440
392	930	1437
393	932	1434
394	934	1431
395	936	1428
396	938	1425
397	940	1422
398	942	1418
399	943	1415
400	945	1413
401	947	1410
402	949	1407
403	951	1404
404	953	1401
405	955	1398
406	957	1395
407	959	1392
408	961	1389
409	963	1386
410	965	1383
411	967	1380
412	969	1377
413	971	1374
414	973	1371
415	976	1371
416	978	1368
417	981	1366
418	986	1368
419	990	1367
420	992	1365
421	994	1362
422	997	1360
423	999	1357
424	1001	1354
425	1003	1351
426	1005	1348
427	1007	1346
428	1009	1343
429	1011	1340
430	1013	1337
431	1015	1334
432	1016	1331
433	1018	1328
434	1020	1325
435	1022	1322
436	1024	1319
437	1026	1316
438	1027	1313
439	1029	1310
440	1031	1307
441	1033	1305
442	1035	1302
443	1037	1299
444	1039	1296
445	1041	1293
446	1042	1290
447	1044	1287
448	1047	1284
449	1048	1282
450	1050	1279
